fid,Артикул,Название товара,Дополнительное поле: Полное название товара,Дополнительное поле: Особенность,Полное описание,Цена продажи,Остаток,Изображения,Подкатегория 1,Подкатегория 2,Подкатегория 3,Подкатегория 4,Параметр: Бренд,Параметр: Ширина,Параметр: Высота,Параметр: Высота Упаковки,Параметр: Ширина Упаковки,Параметр: Глубина Упаковки,Параметр: Вес Брутто,Параметр: Объем Упаковки,Параметр: Цвет,Параметр: Материал,Параметр: Длина
2,KARE__11046,Образец ковра Vegas 32019 20x20cm,Образец ковра Vegas 32019 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-11046-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
3,KARE__11042,Образец ковра Cosmo 32973/33233 20x20cm,Образец ковра Cosmo 32973/33233 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-11042-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
4,KARE__11041,Образец ковра Brick 30003 20x20cm,Образец ковра Brick 30003 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-11041-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
5,KARE__11040,Образец ковра Brick 30003 20x20cm,Образец ковра Brick 30003 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11040-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
6,KARE__11044,Образец ковра Spike Elegance 30004 20x20cm,Образец ковра Spike Elegance 30004 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-11044-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
7,KARE__10998,Крепеж для стеклянных картин (4 шт),Крепеж для стеклянных картин (4 шт),,"<div class=""rs-product__link""> <a href=""http://service.kare-design.com/KARE-assembly-instruction-10998.pdf"" download target=""_blank""> <i class=""rs-icon-pdf""></i> <div class=""rs-product__link_title""> <h4 class=""m-medium-title"">Инструкция</h4> <span class=""link-size"">157,3 кб</span> </div> <i class=""rs-icon-download""></i> </a> </div>",2347,1,https://karedesign.ru/wp-content/uploads/2024/07/KARE-10998-1400x1400-1.jpg,Бренды,KARE,Декор,Картины,KARE
8,KARE__11061,Образец ковра Abstract 61503 20x20cm,Образец ковра Abstract 61503 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11061-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
9,KARE__11064,Образец ковра Abstract 61507 20x20cm,Образец ковра Abstract 61507 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11064-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
10,KARE__11054,Образец ковра Cosy Classic 52777/53219 20x20cm,Образец ковра Cosy Classic 52777/53219 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11054-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
11,KARE__11067,Образец ковра Costa 52273 20x20cm,Образец ковра Costa 52273 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11067-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
12,KARE__11058,Образец ковра Cosy Rocky 52204/52542 20x20cm,Образец ковра Cosy Rocky 52204/52542 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11058-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
13,KARE__11057,Образец ковра Cosy Ocean 52203/52541/54898,Образец ковра Cosy Ocean 52203/52541/54898,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11057-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
14,KARE__11056,Образец ковра Cosy Oasis 52778 20x20cm,Образец ковра Cosy Oasis 52778 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11056-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
15,KARE__11055,Образец ковраCosy Girly 52202/52540 20x20cm,Образец ковраCosy Girly 52202/52540 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11055-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
16,KARE__11077,Образец ковра Kelim 37359 20x20cm,Образец ковра Kelim 37359 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-11077-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
17,KARE__11072,Образец ковра Ornament 60192/61071/54901,Образец ковра Ornament 60192/61071/54901,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11072-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
18,KARE__11083,Carpet Fabric Nora 53762,Carpet Fabric Nora 53762,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/05/KARE-11083-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
19,KARE__11082,Carpet Fabric Silja Beige 54471/54472,Carpet Fabric Silja Beige 54471/54472,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/11/KARE-11082-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
20,KARE__11075,Образец ковра Kelim Pop 60191/66717 20x20cm,Образец ковра Kelim Pop 60191/66717 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11075-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
21,KARE__11070,Образец ковра Soleil 52201 20x20cm,Образец ковра Soleil 52201 20x20cm,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-11070-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
22,KARE__11084,Carpet Fabric Art Faces 54864/53759/54921,Carpet Fabric Art Faces 54864/53759/54921,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/05/KARE-11084-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
23,KARE__11086,Carpet Fabric Silja Blue 54469/54470,Carpet Fabric Silja Blue 54469/54470,,"",1822,0,https://karedesign.ru/wp-content/uploads/2023/12/KARE-11086-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
24,KARE__11662,Столешница стеклянная 200×90 см,Столешница стеклянная 200×90 см,,"",42056,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-11662-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE
25,KARE__11085,Carpet Fabric Ovado Colore 61540,Carpet Fabric Ovado Colore 61540,,"",1822,0,https://karedesign.ru/wp-content/uploads/2024/05/KARE-11085-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
26,KARE__11661,"Столешница из закаленного стекла 140x70x0,8 см","Столешница из закаленного стекла 140x70x0,8 см",,"",25166,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-11661-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE
27,KARE__12118,Образец ткани Peppo Orange 10x10cm,Образец ткани Peppo Orange 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2023/10/kare-12118-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
28,KARE__12120,Образец ткани Peppo Yellow 10x10cm,Образец ткани Peppo Yellow 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-12120-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
29,KARE__12119,Образец ткани Peppo Blue 10x10cm,Образец ткани Peppo Blue 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-12119-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
30,KARE__12117,Образец ткани Peppo White 10x10cm,Образец ткани Peppo White 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-12117-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
31,KARE__12122,Образец ткани Peppo Melange Black 10x10cm,Образец ткани Peppo Melange Black 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-12122-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
32,KARE__12123,Образец ткани Peppo Melange Green 10x10cm,Образец ткани Peppo Melange Green 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-12123-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
33,KARE__12125,Fabric Swatch Belami Velvet Grey 10x10cm,Fabric Swatch Belami Velvet Grey 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2023/12/KARE-12125-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
34,KARE__12121,Образец ткани Peppo Red 10x10cm,Образец ткани Peppo Red 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2023/10/KARE-12121-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
35,KARE__12124,Fabric Swatch Leather Darian Tabacco 10x10cm,Fabric Swatch Leather Darian Tabacco 10x10cm,,"",367,0,https://karedesign.ru/wp-content/uploads/2023/12/KARE-12124-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
36,KARE__12127,Fabric Swatch Salamanca Yellow 10x10cm,Fabric Swatch Salamanca Yellow 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2024/09/KARE-12127-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/09/KARE-12127-master-a-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
37,KARE__12126,Fabric Swatch Salamanca Grey 10x10cm,Fabric Swatch Salamanca Grey 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2024/09/KARE-12126-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/09/KARE-12126-master-a-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
38,KARE__12129,Fabric Swatch Bellissima Velvet Green 10x10cm,Fabric Swatch Bellissima Velvet Green 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2024/01/KARE-12129-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
39,KARE__12128,Fabric Swatch Salamanca Cream 10x10cm,Fabric Swatch Salamanca Cream 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2024/09/KARE-12128-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/09/KARE-12128-master-a-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
40,KARE__12132,Fabric Swatch Spectra Velvet Brown 10x10cm,Fabric Swatch Spectra Velvet Brown 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2024/01/KARE-12132-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
41,KARE__12131,Fabric Swatch Kelly Boucle 10x10cm,Fabric Swatch Kelly Boucle 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2023/12/KARE-12131-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
42,KARE__12130,Fabric Swatch Bellissima Velvet Cream 10x10cm,Fabric Swatch Bellissima Velvet Cream 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2024/01/KARE-12130-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
43,KARE__12138,Fabric Swatch Lara Cord Grau 10x10cm,Fabric Swatch Lara Cord Grau 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2023/12/KARE-12138-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
44,KARE__12137,Fabric Swatch Coco Anthrazit 10x10cm,Fabric Swatch Coco Anthrazit 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2024/09/KARE-12137-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/09/KARE-12137-master-a-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
45,KARE__12136,Fabric Swatch Edna Grey 10x10cm,Fabric Swatch Edna Grey 10x10cm,,"",248,0,https://karedesign.ru/wp-content/uploads/2023/12/KARE-12136-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
46,KARE__12140,Fabric Swatch Maye Bow Cream 10x10cm,Fabric Swatch Maye Bow Cream 10x10cm,,"",0,0,https://karedesign.ru/wp-content/uploads/2024/04/KARE-12140-1400x1400-1.jpg,Бренды,KARE,Без категории,"",KARE
47,KARE__1228,"Столешница стеклянная 0,8xØ100 см","Столешница стеклянная 0,8xØ100 см",,"",28235,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-1228-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE
48,KARE__14467,Основание для стола Tavola Black Matt (2 шт),Основание для стола Tavola Black Matt (2 шт),,"",49481,0,https://karedesign.ru/wp-content/uploads/2023/10/kare-14467-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/08/KARE-14467-detail-a-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/08/KARE-14467-detail-d-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE
49,KARE__14468,Основание для стола Tavola Chrome (2 шт),Основание для стола Tavola Chrome (2 шт),,"",59133,0,https://karedesign.ru/wp-content/uploads/2023/10/kare-14468-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/08/KARE-14468-detail-a-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/08/KARE-14468-detail-c-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE
50,KARE__14469,Основание для стола Tavola Silver (2 шт),Основание для стола Tavola Silver (2 шт),,"",59133,0,https://karedesign.ru/wp-content/uploads/2024/07/KARE-14469-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2023/05/kare-14469-master-30-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2024/07/KARE-14469-master-h-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE
51,KARE__14472,Основание для стола высокоеTavola Silver,Основание для стола высокоеTavola Silver,,"",54312,0,https://karedesign.ru/wp-content/uploads/2023/05/kare-14472-1400x1400-1.jpg https://karedesign.ru/wp-content/uploads/2023/10/kare-14472-master-a-1400x1400-1.jpg,Бренды,KARE,Мебель,Столы,KARE
